,text,text_clean,tokens,tokens_back_to_text,tokens2,topics
147,They said there's five things to do.,say five thing,"[say, five, thing]",say five thing,['five'],0
148,You want to make it easy to start and easy to repeat.,want make easy start easy repeat,"[want, make, easy, start, easy, repeat]",want make easy start easy repeat,"['want', 'make', 'easy', 'start', 'easy', 'repeat']",4
149,"You wanna make it rewarding to repeat, you want to tie the behavior to an existing habit.",wanna make rewarding repeat want tie behavior existing habit,"[wanna, make, rewarding, repeat, want, tie, behavior, existing, habit]",wanna make rewarding repeat want tie behavior existing habit,"['wanna', 'make', 'rewarding', 'repeat', 'want', 'tie', 'behavior', 'existing', 'habit']",8
150,"And I know I do this with people all the time suggesting they take pills when they first like that, and talk about behaviors that conflict with existing habits and provide alternative behaviors and provide specific descriptions of desire behaviors and they discussed for, um, the first one of making the behavior easy to start.",know people time suggest take pill first like talk behavior conflict existing habit provide alternative behavior provide specific description desire behavior discuss um first one make behavior easy start,"[know, people, time, suggest, take, pill, first, like, talk, behavior, conflict, existing, habit, provide, alternative, behavior, provide, specific, description, desire, behavior, discuss, um, first, one, make, behavior, easy, start]",know people time suggest take pill first like talk behavior conflict existing habit provide alternative behavior provide specific description desire behavior discuss um first one make behavior easy start,"['people', 'time', 'suggest', 'take', 'pill', 'first', 'talk', 'behavior', 'conflict', 'existing', 'habit', 'provide', 'alternative', 'behavior', 'provide', 'specific', 'description', 'desire', 'behavior', 'discuss', 'first', 'make', 'behavior', 'easy', 'start']",8
151,"Repeat, making handwashing stations and hand sanitizer available everywhere really makes a difference on how often people wash their hands, and you know it's obvious.",repeat make handwashing station hand sanitizer available everywhere really make difference often people wash hand know obvious,"[repeat, make, handwashing, station, hand, sanitizer, available, everywhere, really, make, difference, often, people, wash, hand, know, obvious]",repeat make handwashing station hand sanitizer available everywhere really make difference often people wash hand know obvious,"['repeat', 'make', 'handwashing', 'station', 'hand', 'sanitizer', 'available', 'everywhere', 'make', 'difference', 'often', 'people', 'wash', 'hand', 'obvious']",4
152,"But, um, often we don't have hand sanitizer readily available, so making it readily available.",um often hand sanitizer readily available make readily available,"[um, often, hand, sanitizer, readily, available, make, readily, available]",um often hand sanitizer readily available make readily available,"['often', 'hand', 'sanitizer', 'readily', 'available', 'make', 'readily', 'available']",4
153,Then they talk about leaving mask right next to the front door.,talk leave mask right next front door,"[talk, leave, mask, right, next, front, door]",talk leave mask right next front door,"['talk', 'leave', 'mask', 'right', 'next', 'front', 'door']",9
154,So they're easy to grab.,easy grab,"[easy, grab]",easy grab,"['easy', 'grab']",4
155,"You leave the house, and then I've certainly seen this Most places I go in public anywhere where they have marks on the floor demonstrating 6 ft apart, and that just makes it so easy to stay 6 ft from.",leave house certainly see place go public anywhere mark floor demonstrate ft apart make easy stay ft,"[leave, house, certainly, see, place, go, public, anywhere, mark, floor, demonstrate, ft, apart, make, easy, stay, ft]",leave house certainly see place go public anywhere mark floor demonstrate ft apart make easy stay ft,"['leave', 'house', 'certainly', 'place', 'public', 'anywhere', 'mark', 'floor', 'demonstrate', 'ft', 'apart', 'make', 'easy', 'stay', 'ft']",0
156,"Other people also talked about communication and clear, consistent messaging.",people also talk communication clear consistent messaging,"[people, also, talk, communication, clear, consistent, messaging]",people also talk communication clear consistent messaging,"['people', 'talk', 'communication', 'clear', 'consistent', 'messaging']",9
157,"And they said, This is actually most important at the local level, and I feel like we've gotten pretty good messaging, clear, consistent messaging on a state level, which made me feel good about it.",say actually important local level feel like get pretty good messaging clear consistent messaging state level make feel good,"[say, actually, important, local, level, feel, like, get, pretty, good, messaging, clear, consistent, messaging, state, level, make, feel, good]",say actually important local level feel like get pretty good messaging clear consistent messaging state level make feel good,"['important', 'local', 'level', 'feel', 'get', 'pretty', 'good', 'messaging', 'clear', 'consistent', 'messaging', 'state', 'level', 'make', 'feel', 'good']",9
158,One thing they talked about is....,one thing talk,"[one, thing, talk]",one thing talk,['talk'],9
159,"The media has really been guilty about this so many pictures of, uh, people on the beaches or, um, at Sturgis or wherever, not doing what they're supposed to, because when you highlight the bad behavior.",medium really guilty many picture uh people beach um sturgis wherever suppose highlight bad behavior,"[medium, really, guilty, many, picture, uh, people, beach, um, sturgis, wherever, suppose, highlight, bad, behavior]",medium really guilty many picture uh people beach um sturgis wherever suppose highlight bad behavior,"['medium', 'guilty', 'many', 'picture', 'people', 'beach', 'sturgis', 'wherever', 'suppose', 'highlight', 'bad', 'behavior']",7
160,It makes people think it's more prevalent than it actually is.,make people think prevalent actually,"[make, people, think, prevalent, actually]",make people think prevalent actually,"['make', 'people', 'prevalent']",7
161,"And it tends to make people less willing to, um, actually do what you want them to do.",tend make people less willing um actually want,"[tend, make, people, less, willing, um, actually, want]",tend make people less willing um actually want,"['tend', 'make', 'people', 'less', 'willing', 'want']",6
162,So you really want to be highlighting people doing what they're supposed to. ,really want highlight people suppose,"[really, want, highlight, people, suppose]",really want highlight people suppose,"['want', 'highlight', 'people', 'suppose']",6
163,"And then the other one that, unfortunately, the medical field, that a really bad job that initially is conceding uncertainty.",one unfortunately medical field really bad job initially concede uncertainty,"[one, unfortunately, medical, field, really, bad, job, initially, concede, uncertainty]",one unfortunately medical field really bad job initially concede uncertainty,"['unfortunately', 'medical', 'field', 'bad', 'job', 'initially', 'concede', 'uncertainty']",7
164,"And we're interested the TV for medical people, you know, we just said there was no evidence for wearing it in public, and I still to this day I have people posting on Facebook that, you know, Doctor Fauci or the surgeon general said not to wear masks and, you know, it's from back in March.",interested tv medical people know say evidence wear public still day people post facebook know doctor fauci surgeon general say wear mask know back march,"[interested, tv, medical, people, know, say, evidence, wear, public, still, day, people, post, facebook, know, doctor, fauci, surgeon, general, say, wear, mask, know, back, march]",interested tv medical people know say evidence wear public still day people post facebook know doctor fauci surgeon general say wear mask know back march,"['interested', 'tv', 'medical', 'people', 'evidence', 'wear', 'public', 'still', 'day', 'people', 'post', 'facebook', 'doctor', 'fauci', 'surgeon', 'general', 'wear', 'mask', 'back', 'march']",1
165,But people absolutely believe that message from back in March.,people absolutely believe message back march,"[people, absolutely, believe, message, back, march]",people absolutely believe message back march,"['people', 'absolutely', 'believe', 'message', 'back', 'march']",0
166,"So rather than saying, you know, this is what is true, we want to say, based on what we know today, it's sort of conceived we'd still don't know.",rather say know true want say base know today sort conceive would still know,"[rather, say, know, true, want, say, base, know, today, sort, conceive, would, still, know]",rather say know true want say base know today sort conceive would still know,"['rather', 'true', 'want', 'base', 'today', 'conceive', 'would', 'still']",2
167,We're still learning lessons about this. ,still learn lesson,"[still, learn, lesson]",still learn lesson,"['still', 'learn', 'lesson']",8
168,"And then Scientific American and, um, publish something this week, COVID is actually the third leading cause of death in the US for this year.",scientific american um publish something week covid actually third lead cause death us year,"[scientific, american, um, publish, something, week, covid, actually, third, lead, cause, death, us, year]",scientific american um publish something week covid actually third lead cause death us year,"['scientific', 'american', 'publish', 'something', 'week', 'covid', 'third', 'lead', 'cause', 'death', 'us', 'year']",3
169,It became the third leading cause of death March 4th and it was actually the first leading cause of death from April 5th to May 3rd.,become third lead cause death march th actually first lead cause death april th may rd,"[become, third, lead, cause, death, march, th, actually, first, lead, cause, death, april, th, may, rd]",become third lead cause death march th actually first lead cause death april th may rd,"['become', 'third', 'lead', 'cause', 'death', 'march', 'first', 'lead', 'cause', 'death', 'april', 'may', 'rd']",3
170,And it's been the third leading cause of death with about the year and then indirect effects on Children in New York state.,third lead cause death year indirect effect child new york state,"[third, lead, cause, death, year, indirect, effect, child, new, york, state]",third lead cause death year indirect effect child new york state,"['third', 'lead', 'cause', 'death', 'year', 'indirect', 'effect', 'child', 'new', 'york', 'state']",3
171,This one was actually really quite heartbreaking.,one actually really quite heartbreaking,"[one, actually, really, quite, heartbreaking]",one actually really quite heartbreaking,"['quite', 'heartbreaking']",0
172,"Um, the United Hospital Fund found that 4200 Children in New York had lost a parent to COVID-19 this year.",um united hospital fund find child new york lose parent covid year,"[um, united, hospital, fund, find, child, new, york, lose, parent, covid, year]",um united hospital fund find child new york lose parent covid year,"['united', 'hospital', 'fund', 'find', 'child', 'new', 'york', 'lose', 'parent', 'covid', 'year']",9
173,"About 950 were Children of single parents and say, Well, they lost their only parent.",child single parent say well lose parent,"[child, single, parent, say, well, lose, parent]",child single parent say well lose parent,"['child', 'single', 'parent', 'well', 'lose', 'parent']",3
174,"Um oh, it was one in 1000 Children in New York state lost a parent to COVID-19, um, one in 600 black Children, one in 700 Hispanic Children in one of 1500 white Children, Um, 57% were in Queens, Brooklyn or the Bronx, which were the hardest hit areas.",um oh one child new york state lose parent covid um one black child one hispanic child one white child um queen brooklyn bronx hard hit area,"[um, oh, one, child, new, york, state, lose, parent, covid, um, one, black, child, one, hispanic, child, one, white, child, um, queen, brooklyn, bronx, hard, hit, area]",um oh one child new york state lose parent covid um one black child one hispanic child one white child um queen brooklyn bronx hard hit area,"['child', 'new', 'york', 'state', 'lose', 'parent', 'covid', 'black', 'child', 'hispanic', 'child', 'white', 'child', 'queen', 'brooklyn', 'bronx', 'hard', 'hit', 'area']",3
175,That was really that was fairly heartbreaking.,really fairly heartbreaking,"[really, fairly, heartbreaking]",really fairly heartbreaking,"['fairly', 'heartbreaking']",2
176,"And then they also found that 325,000 Children were pushed into poverty or near poverty in New York, which was roughly 8% of Children in New York who had not been poverty before COVID-19 started were now in poverty.",also find child push poverty near poverty new york roughly child new york poverty covid start poverty,"[also, find, child, push, poverty, near, poverty, new, york, roughly, child, new, york, poverty, covid, start, poverty]",also find child push poverty near poverty new york roughly child new york poverty covid start poverty,"['find', 'child', 'push', 'poverty', 'near', 'poverty', 'new', 'york', 'roughly', 'child', 'new', 'york', 'poverty', 'covid', 'start', 'poverty']",9
177,"And they estimated it was gonna cost anywhere from 550 to 800 million just to support the basic needs of these Children and household severe new, newly newly in or near poverty over the next year.",estimate go cost anywhere million support basic need child household severe new newly newly near poverty next year,"[estimate, go, cost, anywhere, million, support, basic, need, child, household, severe, new, newly, newly, near, poverty, next, year]",estimate go cost anywhere million support basic need child household severe new newly newly near poverty next year,"['estimate', 'cost', 'anywhere', 'million', 'support', 'basic', 'need', 'child', 'household', 'severe', 'new', 'newly', 'newly', 'near', 'poverty', 'next', 'year']",9
178,And they estimate that 40% of low income workers lost their jobs throughout the United States.,estimate low income worker lose job throughout united states,"[estimate, low, income, worker, lose, job, throughout, united, states]",estimate low income worker lose job throughout united states,"['estimate', 'low', 'income', 'worker', 'lose', 'job', 'throughout', 'united', 'states']",3
179,"And those, of course, are the people who are the least able to absorb financial hit like that.",course people least able absorb financial hit like,"[course, people, least, able, absorb, financial, hit, like]",course people least able absorb financial hit like,"['course', 'people', 'least', 'able', 'absorb', 'financial', 'hit']",5
180,And I decided not to go into this.,decide go,"[decide, go]",decide go,['decide'],0
181,"This is fairly similar to the one I presented from Minnesota Department of Health last week, but there was a COVID-19 response toolkit it from the public elementary schools on how to deal with Children who are symptomatic or have a positive COVID in their family or an exposure, and then also updating from American Academy of Pediatrics on COVID-19 testing guidance.",fairly similar one present minnesota department health last week covid response toolkit public elementary school deal child symptomatic positive covid family exposure also update american academy pediatric covid testing guidance,"[fairly, similar, one, present, minnesota, department, health, last, week, covid, response, toolkit, public, elementary, school, deal, child, symptomatic, positive, covid, family, exposure, also, update, american, academy, pediatric, covid, testing, guidance]",fairly similar one present minnesota department health last week covid response toolkit public elementary school deal child symptomatic positive covid family exposure also update american academy pediatric covid testing guidance,"['fairly', 'similar', 'present', 'minnesota', 'department', 'health', 'last', 'week', 'covid', 'response', 'toolkit', 'public', 'elementary', 'school', 'deal', 'child', 'symptomatic', 'positive', 'covid', 'family', 'exposure', 'update', 'american', 'academy', 'pediatric', 'covid', 'testing', 'guidance']",3
182,"And like I said, they're fairly similar to what we've already talked about.",like say fairly similar already talk,"[like, say, fairly, similar, already, talk]",like say fairly similar already talk,"['fairly', 'similar', 'already', 'talk']",9
183,"But it was nice to have something from local, and the last was just some articles that I thought were really good.",nice something local last article think really good,"[nice, something, local, last, article, think, really, good]",nice something local last article think really good,"['nice', 'something', 'local', 'last', 'article', 'good']",6
184,"I didn't necessarily think it was worth summarizing, but I thought they were worth either reading yourself or passing along to that difficult uncle on Facebook.",necessarily think worth summarize think worth either read pass along difficult uncle facebook,"[necessarily, think, worth, summarize, think, worth, either, read, pass, along, difficult, uncle, facebook]",necessarily think worth summarize think worth either read pass along difficult uncle facebook,"['necessarily', 'worth', 'summarize', 'worth', 'either', 'read', 'pass', 'along', 'difficult', 'uncle', 'facebook']",8
185,um COVID-19 myth busting by Robin.,um covid myth busting robin,"[um, covid, myth, busting, robin]",um covid myth busting robin,"['covid', 'myth', 'busting', 'robin']",10
186,I don't know how to pronounce it.,know pronounce,"[know, pronounce]",know pronounce,['pronounce'],0
187,Schoenthaler I think she posts a lot on Facebook.,schoenthaler think post lot facebook,"[schoenthaler, think, post, lot, facebook]",schoenthaler think post lot facebook,"['schoenthaler', 'post', 'facebook']",8
188,"She's worth following on Facebook just for her post, but she wrote an article for Medium on the various myths around COVID, and this was quite good.",worth follow facebook post write article medium various myth around covid quite good,"[worth, follow, facebook, post, write, article, medium, various, myth, around, covid, quite, good]",worth follow facebook post write article medium various myth around covid quite good,"['worth', 'follow', 'facebook', 'post', 'write', 'article', 'medium', 'various', 'myth', 'around', 'covid', 'quite', 'good']",10
189,"Um, UCSF had a grand rounds on October 6th.",um ucsf grand round october th,"[um, ucsf, grand, round, october, th]",um ucsf grand round october th,"['ucsf', 'grand', 'round', 'october']",3
190,"Um, and they discuss President Trump's COVID-19 diagnosis and just sort of what it meant from a medical standpoint.",um discuss president trumps covid diagnosis sort mean medical standpoint,"[um, discuss, president, trumps, covid, diagnosis, sort, mean, medical, standpoint]",um discuss president trumps covid diagnosis sort mean medical standpoint,"['discuss', 'president', 'trumps', 'covid', 'diagnosis', 'mean', 'medical', 'standpoint']",2
191,"What you could tell what, um, what we know about the medications that were you to treat him.",could tell um know medication treat,"[could, tell, um, know, medication, treat]",could tell um know medication treat,"['could', 'tell', 'medication', 'treat']",4
192,"It's veal on YouTube and then, um actually, um, the grand rounds is an hour and a half.",veal youtube um actually um grand round hour half,"[veal, youtube, um, actually, um, grand, round, hour, half]",veal youtube um actually um grand round hour half,"['veal', 'youtube', 'grand', 'round', 'hour', 'half']",3
193,"I didn't have time to watch it, but Julie Thompson MD is on Facebook, and she summarized it under personal Facebook page.",time watch julie thompson md facebook summarize personal facebook page,"[time, watch, julie, thompson, md, facebook, summarize, personal, facebook, page]",time watch julie thompson md facebook summarize personal facebook page,"['time', 'watch', 'julie', 'thompson', 'md', 'facebook', 'summarize', 'personal', 'facebook', 'page']",8
194,She's from Oakland.,oakland,[oakland],oakland,['oakland'],4
195,"There's multiple Julie Thompson's, but, um, her summary was really excellent, and I think it's worth looking at if you're on Facebook and then Emily Auster's schools aren't super spreaders from the Atlantic.",multiple julie thompson um summary really excellent think worth look facebook emily auster school super spreader atlantic,"[multiple, julie, thompson, um, summary, really, excellent, think, worth, look, facebook, emily, auster, school, super, spreader, atlantic]",multiple julie thompson um summary really excellent think worth look facebook emily auster school super spreader atlantic,"['multiple', 'julie', 'thompson', 'summary', 'excellent', 'worth', 'look', 'facebook', 'emily', 'auster', 'school', 'super', 'spreader', 'atlantic']",5
196,"I'm still waiting to see definitive medical articles on this, but this was quite a good summary.",still wait see definitive medical article quite good summary,"[still, wait, see, definitive, medical, article, quite, good, summary]",still wait see definitive medical article quite good summary,"['still', 'wait', 'definitive', 'medical', 'article', 'quite', 'good', 'summary']",7
197,"And then Elizabeth Ralph here, how the pandemic finally ends was also an article that was definitely worth reading.",elizabeth ralph pandemic finally end also article definitely worth read,"[elizabeth, ralph, pandemic, finally, end, also, article, definitely, worth, read]",elizabeth ralph pandemic finally end also article definitely worth read,"['elizabeth', 'ralph', 'pandemic', 'finally', 'end', 'article', 'definitely', 'worth', 'read']",6
198,And that was everything I had.,everything,[everything],everything,['everything'],9
201,Leslie.,leslie,[leslie],leslie,['leslie'],1
203,"Ah, so great to get your take on what's important out there in the ambulatory world.",ah great get take important ambulatory world,"[ah, great, get, take, important, ambulatory, world]",ah great get take important ambulatory world,"['great', 'get', 'take', 'important', 'ambulatory', 'world']",11
204,"It's It's really great to get both both these, uh, both yours and Nestor's inputs I'd like to introduce, um Marla  just to say hi.",really great get uh nestor input would like introduce um marla say hi,"[really, great, get, uh, nestor, input, would, like, introduce, um, marla, say, hi]",really great get uh nestor input would like introduce um marla say hi,"['great', 'get', 'nestor', 'input', 'would', 'introduce', 'marla', 'hi']",4
205,Marla does not have a any update today.,marla update today,"[marla, update, today]",marla update today,"['marla', 'update', 'today']",11
206,"But, mother, if you can just say how most everyone knows who you are real quick.",mother say everyone know real quick,"[mother, say, everyone, know, real, quick]",mother say everyone know real quick,"['mother', 'everyone', 'real', 'quick']",8
207,Marlys everyone.,marlys everyone,"[marlys, everyone]",marlys everyone,"['marlys', 'everyone']",8
208,Senior epidemiologists at the Department of Health.,senior epidemiologist department health,"[senior, epidemiologist, department, health]",senior epidemiologist department health,"['senior', 'epidemiologist', 'department', 'health']",5
209,"Thanks, Marla.",thanks marla,"[thanks, marla]",thanks marla,"['thanks', 'marla']",4
210,And then Karissa Culbreath.,karissa culbreath,"[karissa, culbreath]",karissa culbreath,"['karissa', 'culbreath']",3
211,"Um, could you just let everybody know who you are from TriCor scientists.",um could let everybody know tricor scientist,"[um, could, let, everybody, know, tricor, scientist]",um could let everybody know tricor scientist,"['could', 'let', 'everybody', 'tricor', 'scientist']",4
213,"I'm I'm one of the medical director for infectious disease agnostics here, a TriCor.",one medical director infectious disease agnostic tricor,"[one, medical, director, infectious, disease, agnostic, tricor]",one medical director infectious disease agnostic tricor,"['medical', 'director', 'infectious', 'disease', 'agnostic', 'tricor']",9
214,"And also my colleague, Doctor Cecilia Thompson, is also here on the call today.",also colleague doctor cecilia thompson also call today,"[also, colleague, doctor, cecilia, thompson, also, call, today]",also colleague doctor cecilia thompson also call today,"['colleague', 'doctor', 'cecilia', 'thompson', 'call', 'today']",1
215,"Thank you so much, Karissa.",thank much karissa,"[thank, much, karissa]",thank much karissa,['karissa'],3
216,"And then, um my colleague at Project ECHO.",um colleague project echo,"[um, colleague, project, echo]",um colleague project echo,"['colleague', 'project', 'echo']",1
217,"Uh, Karla Thornton is one of the senior associate Directors Karla.",uh karla thornton one senior associate director karla,"[uh, karla, thornton, one, senior, associate, director, karla]",uh karla thornton one senior associate director karla,"['karla', 'thornton', 'senior', 'associate', 'director', 'karla']",10
220,"Hi, everyone.",hi everyone,"[hi, everyone]",hi everyone,"['hi', 'everyone']",8
221,Afternoon.,afternoon,[afternoon],afternoon,['afternoon'],0
222,Carla Thornton here Division of Infectious Diseases.,carla thornton division infectious disease,"[carla, thornton, division, infectious, disease]",carla thornton division infectious disease,"['carla', 'thornton', 'division', 'infectious', 'disease']",0
223,"Is that, um great.",um great,"[um, great]",um great,['great'],11
224,"Karla, Um Karla, do you wanna start with some questions?",karla um karla wanna start question,"[karla, um, karla, wanna, start, question]",karla um karla wanna start question,"['karla', 'karla', 'wanna', 'start', 'question']",6
226,Thank you to another.,thank another,"[thank, another]",thank another,['another'],11
227,Quite a few questions on the chat.,quite question chat,"[quite, question, chat]",quite question chat,"['quite', 'question', 'chat']",7
228,"Um, well, to start with a doctor, Sybil had a question and those with prolonged symptoms.",um well start doctor sybil question prolonged symptom,"[um, well, start, doctor, sybil, question, prolonged, symptom]",um well start doctor sybil question prolonged symptom,"['well', 'start', 'doctor', 'sybil', 'question', 'prolonged', 'symptom']",7
229,Does that correlate with prolonged viral shedding and infectivity?,correlate prolong viral shedding infectivity,"[correlate, prolong, viral, shedding, infectivity]",correlate prolong viral shedding infectivity,"['correlate', 'prolong', 'viral', 'shedding', 'infectivity']",8
230,"Think Nestor, from your initial.",think nestor initial,"[think, nestor, initial]",think nestor initial,"['nestor', 'initial']",9
231,"Yeah no, I haven't seen that correlation.",yeah see correlation,"[yeah, see, correlation]",yeah see correlation,['correlation'],7
232,"Uh, I know that severe patient who have severe acute Covid meaning patients were in the ICU or hospitalized.",uh know severe patient severe acute covid meaning patient icu hospitalize,"[uh, know, severe, patient, severe, acute, covid, meaning, patient, icu, hospitalize]",uh know severe patient severe acute covid meaning patient icu hospitalize,"['severe', 'patient', 'severe', 'acute', 'covid', 'meaning', 'patient', 'icu', 'hospitalize']",9
233,They tend to have a longer viral shedding than those who have milder asymptomatic disease.,tend long viral shedding milder asymptomatic disease,"[tend, long, viral, shedding, milder, asymptomatic, disease]",tend long viral shedding milder asymptomatic disease,"['tend', 'long', 'viral', 'shedding', 'milder', 'asymptomatic', 'disease']",5
234,But I haven't seen the correlation between long COVID the invasion recover and viral shedding.,see correlation long covid invasion recover viral shedding,"[see, correlation, long, covid, invasion, recover, viral, shedding]",see correlation long covid invasion recover viral shedding,"['correlation', 'long', 'covid', 'invasion', 'recover', 'viral', 'shedding']",7
235,And I think that's that's one of the questions.,think one question,"[think, one, question]",think one question,['question'],6
236,"If this is a viral phenomenon or any immune phenomenon and we still don't know, I know they're looking into that actively, they're they're they're having this cohort of patients in which they're doing immunological studies to see what type of immune reaction they have.",viral phenomenon immune phenomenon still know know look actively cohort patient immunological study see type immune reaction,"[viral, phenomenon, immune, phenomenon, still, know, know, look, actively, cohort, patient, immunological, study, see, type, immune, reaction]",viral phenomenon immune phenomenon still know know look actively cohort patient immunological study see type immune reaction,"['viral', 'phenomenon', 'immune', 'phenomenon', 'still', 'look', 'actively', 'cohort', 'patient', 'immunological', 'study', 'type', 'immune', 'reaction']",5
237,They trying to look for the virus in different issues to see if there's any persistent in the C and s or somewhere else.,try look virus different issue see persistent c somewhere else,"[try, look, virus, different, issue, see, persistent, c, somewhere, else]",try look virus different issue see persistent c somewhere else,"['try', 'look', 'virus', 'different', 'issue', 'persistent', 'c', 'somewhere', 'else']",1
238,But I haven't seen anything published yet.,see anything publish yet,"[see, anything, publish, yet]",see anything publish yet,"['anything', 'publish', 'yet']",4
239,"Thank you, Nestor.",thank nestor,"[thank, nestor]",thank nestor,['nestor'],9
240,"Um, I think Marla.",um think marla,"[um, think, marla]",um think marla,['marla'],4
241,"This is probably for you, because they're they're a few preregistration questions.",probably preregistration question,"[probably, preregistration, question]",probably preregistration question,"['probably', 'preregistration', 'question']",8
242,"And then there's one in the chat about, you know, at least in New Mexico, this larger increase the number of cases that that we've seen in the last couple of weeks, if there's at least what what you guys were thinking about, what the explanation of that, uh, increase. ",one chat know least new mexico large increase number case see last couple week least guy think explanation uh increase,"[one, chat, know, least, new, mexico, large, increase, number, case, see, last, couple, week, least, guy, think, explanation, uh, increase]",one chat know least new mexico large increase number case see last couple week least guy think explanation uh increase,"['chat', 'least', 'new', 'mexico', 'large', 'increase', 'number', 'case', 'last', 'couple', 'week', 'least', 'guy', 'explanation', 'increase']",6
243,"You know, right now, we think that there's multiple factors.",know right think multiple factor,"[know, right, think, multiple, factor]",know right think multiple factor,"['right', 'multiple', 'factor']",9
244,We kind of had many things change all at the same time.,kind many thing change time,"[kind, many, thing, change, time]",kind many thing change time,"['kind', 'many', 'change', 'time']",8
245,"So we have the long Labor Day holiday, and we know from our case interviews that there were a lot of people who traveled, had people from out of state travel to visit them.",long labor day holiday know case interview lot people travel people state travel visit,"[long, labor, day, holiday, know, case, interview, lot, people, travel, people, state, travel, visit]",long labor day holiday know case interview lot people travel people state travel visit,"['long', 'labor', 'day', 'holiday', 'case', 'interview', 'people', 'travel', 'people', 'state', 'travel', 'visit']",6
246,"Lots of family get togethers, Um, and at the same time, you know that very same weekend we liberalized indoor dining.",lot family get together um time know weekend liberalize indoor dining,"[lot, family, get, together, um, time, know, weekend, liberalize, indoor, dining]",lot family get together um time know weekend liberalize indoor dining,"['family', 'get', 'together', 'time', 'weekend', 'liberalize', 'indoor', 'dining']",11
247,Indoor dining was open again.,indoor dining open,"[indoor, dining, open]",indoor dining open,"['indoor', 'dining', 'open']",6
248,"Um, the number of people that you were allowed to have in an indoor space, um, increased things were, you know, looking good heading into that weekend.",um number people allow indoor space um increase thing know look good head weekend,"[um, number, people, allow, indoor, space, um, increase, thing, know, look, good, head, weekend]",um number people allow indoor space um increase thing know look good head weekend,"['number', 'people', 'allow', 'indoor', 'space', 'increase', 'look', 'good', 'head', 'weekend']",6
249,"Um, you know, some schools returned to in person learning, and, um, there were multiple other kind of recreational activities that were given the green light to open back up.",um know school return person learning um multiple kind recreational activity give green light open back,"[um, know, school, return, person, learning, um, multiple, kind, recreational, activity, give, green, light, open, back]",um know school return person learning um multiple kind recreational activity give green light open back,"['school', 'return', 'person', 'learning', 'multiple', 'kind', 'recreational', 'activity', 'give', 'green', 'light', 'open', 'back']",6
250,"So you suddenly had, um, this long holiday weekend where you had travel.",suddenly um long holiday weekend travel,"[suddenly, um, long, holiday, weekend, travel]",suddenly um long holiday weekend travel,"['suddenly', 'long', 'holiday', 'weekend', 'travel']",6
251,"You have family get togethers, events, and you also had people spending more time in.",family get together event also people spend time,"[family, get, together, event, also, people, spend, time]",family get together event also people spend time,"['family', 'get', 'together', 'event', 'people', 'spend', 'time']",4
252,"You know, indoor spaces like restaurants, breweries, bars, um, skating rings, pumpkin patches, this, you know, sort of etcetera.",know indoor space like restaurant brewery bar um skate ring pumpkin patch know sort etcetera,"[know, indoor, space, like, restaurant, brewery, bar, um, skate, ring, pumpkin, patch, know, sort, etcetera]",know indoor space like restaurant brewery bar um skate ring pumpkin patch know sort etcetera,"['indoor', 'space', 'restaurant', 'brewery', 'bar', 'skate', 'ring', 'pumpkin', 'patch', 'etcetera']",5
253,There were a lot of things that were kind of given the green light at the same time.,lot thing kind give green light time,"[lot, thing, kind, give, green, light, time]",lot thing kind give green light time,"['kind', 'give', 'green', 'light', 'time']",8
254,"And so we think it's really a cumulative effect of all of those things, not any one thing.",think really cumulative effect thing one thing,"[think, really, cumulative, effect, thing, one, thing]",think really cumulative effect thing one thing,"['cumulative', 'effect']",6
255,"But people definitely have reported increasing group activities and travel, including dining.",people definitely report increase group activity travel include dining,"[people, definitely, report, increase, group, activity, travel, include, dining]",people definitely report increase group activity travel include dining,"['people', 'definitely', 'report', 'increase', 'group', 'activity', 'travel', 'include', 'dining']",0
256,"Thank you Marla, and there was another question just about whether how much you can, how much you can explain by the increase in testing cause do you think that the increased in testing has added to the numbers significantly or not?",thank marla another question whether much much explain increase testing cause think increase testing add number significantly,"[thank, marla, another, question, whether, much, much, explain, increase, testing, cause, think, increase, testing, add, number, significantly]",thank marla another question whether much much explain increase testing cause think increase testing add number significantly,"['marla', 'another', 'question', 'whether', 'explain', 'increase', 'testing', 'cause', 'increase', 'testing', 'add', 'number', 'significantly']",6
257,"You know, the testing numbers right now really are sort of back up to where we have been through the spring and early part of the summer.",know testing number right really sort back spring early part summer,"[know, testing, number, right, really, sort, back, spring, early, part, summer]",know testing number right really sort back spring early part summer,"['testing', 'number', 'right', 'back', 'spring', 'early', 'part', 'summer']",0
258,"We had a drop off and testing, you know, kind of late July and August, but where we are now, it's kind of where we had been through the late spring and early summer, so there's not been a significant increase in in testing throughout the state.",drop test know kind late july august kind late spring early summer significant increase testing throughout state,"[drop, test, know, kind, late, july, august, kind, late, spring, early, summer, significant, increase, testing, throughout, state]",drop test know kind late july august kind late spring early summer significant increase testing throughout state,"['drop', 'test', 'kind', 'late', 'july', 'august', 'kind', 'late', 'spring', 'early', 'summer', 'significant', 'increase', 'testing', 'throughout', 'state']",0
260,A couple other questions.,couple question,"[couple, question]",couple question,"['couple', 'question']",8
